date,value
2024-01-18,127930.72050011731
2024-01-19,128731.47245324231
2024-01-23,126813.47440636731
2024-01-24,127889.21659386731
2024-01-25,127382.46854699231
2024-01-29,129307.46854699231
2024-01-30,128229.96854699231
2024-01-31,129247.96659386731
2024-02-01,129106.71659386731
2024-02-02,129888.47440636731
2024-02-05,129477.96659386731
2024-02-06,130266.47245324231
2024-02-07,130271.97050011731
2024-02-08,129209.21659386731
2024-02-09,129531.97050011731
2024-02-12,128051.24288292983
2024-02-13,128687.23897667983
2024-02-14,129171.24288292983
2024-02-15,129524.73897667983
2024-02-16,130174.48507042983
2024-02-19,130582.23897667983
2024-02-20,130955.73507042983
2024-02-21,130246.24288292983
2024-02-22,130725.19550664077
2024-02-23,130725.19550664077
2024-02-26,130393.14352441423
2024-02-27,130774.63766503923
2024-02-28,129538.64157128923
2024-02-29,129696.89352441423
2024-03-01,131476.63961816422
2024-03-04,131810.88766503922
2024-03-05,131229.27257570327
2024-03-06,131229.27257570327
2024-03-07,131229.27257570327
2024-03-11,131229.27257570327
2024-03-12,131229.27257570327
2024-03-13,131229.27257570327
2024-03-14,131229.27257570327
2024-03-15,131229.27257570327
2024-03-18,131229.27257570327
2024-03-19,130901.79266292986
2024-03-20,131010.04461605486
2024-03-21,131874.29266292986
2024-03-22,132298.29656917986
2024-03-26,131838.04266292986
2024-03-27,132432.79852230486
2024-03-28,133449.04852230486
2024-04-01,134124.54656917986
2024-04-02,134081.05047542986
2024-04-03,133987.79852230486
2024-04-04,134387.79852230486
2024-04-05,134383.04266292986
2024-04-08,134806.28262671892
2024-04-09,134806.28262671892
2024-04-10,134806.28262671892
2024-04-12,134806.28262671892
2024-04-15,134806.28262671892
2024-04-16,134473.84264185565
2024-04-18,133713.58873560565
2024-04-19,134469.34068873065
2024-04-22,135416.34264185565
2024-04-23,135574.34068873065
2024-04-24,135746.34264185565
2024-04-25,136586.08873560565
2024-04-26,135834.08678248065
2024-04-29,136611.9180700002
2024-04-30,136611.9180700002
2024-05-02,136611.9180700002
2024-05-03,136611.9180700002
2024-05-06,136611.9180700002
2024-05-07,136611.9180700002
2024-05-08,136611.9180700002
2024-05-09,136282.3359950002
2024-05-10,136770.8320887502
2024-05-13,137015.0899012502
2024-05-14,137584.0840418752
2024-05-15,137497.5899012502
2024-05-16,138514.0840418752
2024-05-17,138825.3340418752
2024-05-21,139140.0899012502
2024-05-22,139483.8399012502
2024-05-23,140988.80286876974
2024-05-24,140988.80286876974
2024-05-27,140988.80286876974
2024-05-28,140988.80286876974
2024-05-29,140988.80286876974
2024-05-30,140651.24822640646
2024-05-31,140861.49236703146
2024-06-03,144527.49822640646
2024-06-04,137630.49627328146
2024-06-05,141309.74432015646
2024-06-06,142314.99822640646
2024-06-07,144658.74822640646
2024-06-10,144503.99236703146
2024-06-11,144532.24432015646
2024-06-12,144822.74236703146
2024-06-13,145202.49822640646
2024-06-14,145535.99432015646
2024-06-18,145997.49822640646
2024-06-19,145787.99627328146
2024-06-20,146042.99627328146
2024-06-21,145008.46133187524
2024-06-24,145192.21133187524
2024-06-25,146109.46719125024
2024-06-26,146846.96719125024
2024-06-27,147725.46328500024
2024-06-28,147555.96133187524
2024-07-01,148212.70937875024
2024-07-02,148122.21133187524
2024-07-03,148935.46328500024
2024-07-04,149013.71523812524
2024-07-05,149122.21133187524
2024-07-08,149105.71719125024
2024-07-09,149668.95937875024
2024-07-10,149125.20937875024
2024-07-11,149082.70937875024
2024-07-12,149646.42800376978
2024-07-15,149646.42800376978
2024-07-16,149646.42800376978
2024-07-18,149646.42800376978
2024-07-19,149278.2191889065
2024-07-22,149169.9672357815
2024-07-23,149018.9711420315
2024-07-24,148691.2172357815
2024-07-25,148654.2152826565
2024-07-26,150797.9652826565
2024-07-29,150431.922149512
2024-07-30,150431.922149512
2024-07-31,150431.922149512
2024-08-01,150431.922149512
2024-08-02,150431.922149512
2024-08-05,150070.8475993753
2024-08-06,149755.6034587503
2024-08-07,151280.3495525003
2024-08-08,150377.8495525003
2024-08-09,151630.3495525003
2024-08-12,151527.8495525003
2024-08-13,150487.8495525003
2024-08-14,150511.5995525003
2024-08-16,152498.6015056253
2024-08-19,152656.1015056253
2024-08-20,153287.0975993753
2024-08-21,153643.8456462503
2024-08-22,153850.3495525003
2024-08-23,153908.6015056253
2024-08-26,154845.8475993753
2024-08-27,154131.06705250026
2024-08-28,154304.06509937526
2024-08-29,154802.06314625026
2024-08-30,154843.53285876982
2024-09-02,154843.53285876982
2024-09-03,154843.53285876982
2024-09-04,154843.53285876982
2024-09-05,154843.53285876982
2024-09-06,154470.50208140654
2024-09-09,154891.75208140654
2024-09-10,155415.24817515654
2024-09-11,154801.99622203154
2024-09-12,157154.25208140654
2024-09-13,156992.25012828154
2024-09-16,157128.50012828154
2024-09-17,157302.50403453154
2024-09-18,157097.50403453154
2024-09-19,157288.75403453154
2024-09-20,159164.49622203154
2024-09-23,159905.00403453154
2024-09-24,159911.75208140654
2024-09-25,159840.6998670511
2024-09-26,159840.6998670511
2024-09-27,159840.6998670511
2024-09-30,159840.6998670511
2024-10-01,159840.6998670511
2024-10-03,159840.6998670511
2024-10-04,159840.6998670511
2024-10-07,159468.51565955114
2024-10-08,160555.51761267614
2024-10-09,160399.51175330114
2024-10-10,160482.01175330114
2024-10-11,160311.01565955114
2024-10-14,160752.84379451207
2024-10-15,160752.84379451207
2024-10-16,160752.84379451207
2024-10-17,160752.84379451207
2024-10-18,160752.84379451207
2024-10-21,160752.84379451207
2024-10-22,160752.84379451207
2024-10-23,160752.84379451207
2024-10-24,160752.84379451207
2024-10-25,160752.84379451207
2024-10-28,160752.84379451207
2024-10-29,160752.84379451207
2024-10-30,160752.84379451207
2024-10-31,160752.84379451207
2024-11-01,160752.84379451207
2024-11-04,160752.84379451207
2024-11-05,160752.84379451207
2024-11-06,160752.84379451207
2024-11-07,160752.84379451207
2024-11-08,160752.84379451207
2024-11-11,160752.84379451207
2024-11-12,160752.84379451207
2024-11-13,160328.49817184018
2024-11-14,160170.38879684018
2024-11-18,159696.99817184018
2024-11-19,160085.19348434018
2024-11-21,159073.59582809018
2024-11-22,162417.69348434018
2024-11-25,164305.59582809018
2024-11-26,164141.19348434018
2024-11-27,164623.59582809018
2024-11-28,162459.09582809018
2024-11-29,163760.79114059018
2024-12-02,164630.49817184018
2024-12-03,165717.09582809018
2024-12-04,165778.88879684018
2024-12-05,167224.59582809018
2024-12-06,166597.09389138708
2024-12-09,166597.09389138708
2024-12-10,166597.09389138708
2024-12-11,166597.09389138708
2024-12-12,166597.09389138708
2024-12-13,166597.09389138708
2024-12-16,166597.09389138708
2024-12-17,166597.09389138708
2024-12-18,166597.09389138708
2024-12-19,166597.09389138708
2024-12-20,166597.09389138708
2024-12-23,166597.09389138708
2024-12-24,166597.09389138708
2024-12-26,166597.09389138708
2024-12-27,166597.09389138708
2024-12-30,166597.09389138708
2024-12-31,166597.09389138708
2025-01-01,166597.09389138708
2025-01-02,166597.09389138708
2025-01-03,166597.09389138708
2025-01-06,166597.09389138708
2025-01-07,166597.09389138708
2025-01-08,166597.09389138708
2025-01-09,166597.09389138708
2025-01-10,166597.09389138708
2025-01-13,166181.26977405895
2025-01-14,166721.87914905895
2025-01-15,166944.76977405895
2025-01-16,167536.37914905895
2025-01-17,166884.76977405895
2025-01-20,167734.07446155895
2025-01-21,165813.47680530895
2025-01-22,166597.67211780895
2025-01-23,166897.67211780895
2025-01-24,166218.76977405895
2025-01-27,164640.47680530895
2025-01-28,165409.07446155895
2025-01-29,166644.17211780895
2025-01-30,167162.57446155895
2025-01-31,168715.97680530895
2025-02-01,168136.0798840824
